# Receptors/Pathway	Effect									Desire 
GABA:			Inhibition, Anxiolysis, Sedation, Amnesia				Generally Antagonsim
GABAA:			Amnesia, Inhibition, Hallucination, Anxiolysis				Generally Antagonism
GABRA1:			Hypnotic and Hallucinogenic						Antagonism
GABRA2:			Anxiolysis (dependence)							Antagonism (due to dependence)
GABRA3:			Anxiolysis, Lack of Sedation, Amnesia, Dependence			Agonism (due to non-dependence) (DOP)
GABRA4:			Possible reinforcing effect						?
GABRA5:			Amnesia, Sedation, Anxiolytic, Anti-Nootropic				Antagonism
GABAB:			Anxiolysis, Sedation							Generally Agonism (DOP, also see phenibut)
M1			LTP improvement, Procognitive, Analgesia				Agonism 
M2			Bradycardic								Neutral
M3			Emesis, Secretion, Insulin Production, Bronchoconstriction		Neutral
M4			Dopamine Inhibition/Antiparkinson					Antagonism 
M5			?									?
α3β2			Dopamine release, Addictive?						Agonism (DOP)
α3β4			Addiction								Antagonism
α4β2			Anti-obesity, Learning, AE, Addiction					Agonism (DOP)
α7			Procognitive, Anti inflammatory, Nootropic, AE				Agonism (DOP)
D1			Learning, Addiction, Euphoria,						Agonism (DOP)
D2			Learning, Euphoria/Reward, Schizophrenic, Inhibitory?			Antagonism (DOP)
D3			Antidepressant, Addiction, Reward, Schizophrenic			Agonsim (DOP)
D4 			Erection, Procognitive, Nootropic					Agonism (DOP)
D5			Euphoria, Neurotrophins booster, LTP improvement, Schizophrenic?	Agonism (DOP)
5-HT1A			Arousal, Appetite supression, Weird					?, Neutral
5-HT1B			Dopamine Inhibition, Vasoconstriction, Bone growth			Generally Antagonism
5-HT1D			Psychoactive, Anticonvulsant						Generally Agonism
5-HT1E			?									?
5-HT1F			?									?
5-HT2A			Psychoactive/Hallucinogenic						Neutral
5-HT2B			Vasoconstriction, Cardiotoxic						Antagonism
5-HT2C			Dopamine inhibition, Depression						Antagonism
5-HT3			Emesis, Pronoiceceptive							Antagonism	
5-HT4			?									?
5-HT5			Anti-nootropic								Antagonism
5-HT6			Anti-nootropic, ADNC, Appetite supression				Antagonism
5-HT7			Analgesic, Mixed memory effects						?


Acronym:
AE: Attention Enhacement
ADNC: Anti Dopamine Norepinephrine Choline
DOP: Depends on Person
